人は生まれながらに善の素質(四端)を持ち、それを育てると四徳が完成すると言う考え方,性善説,
性善説を唱えた人物,孟子,
他人の不幸を見過ごせない心,惻隠の心,
悪を恥じ、憎む心,羞悪の心,
他人を尊重し、譲り合う心,辞譲の心,
善悪・正邪についての判断力,是非の心,
惻隠の心が育ったもの,仁,
羞悪のこころが育ったもの,義,
辞譲の心が育ったもの,礼,
是非の心が育ったもの,智,
四徳の充実とともに養われる、天地に満ち溢れるほどの強く正しい気力,浩然の気,
善行を積み重ね浩然の気を養う者,大丈夫,
人間関係から生じる5つの徳,五輪,
五輪の一つ、親子の親愛の情,親,
五輪の一つ、君臣の礼儀,義,
五輪の一つ、男女のけじめ,別,
五輪の一つ、兄弟の序列,序,
五輪の一つ、友人の信頼,信,
仁義に基づいて民の幸福を図る政治,王道政治,⇄覇道政治(武力による政治)
王の徳を持たず民意に背く君主は、天命を失ったものとして追放されると言う思想,易姓革命,孟子の思想は明治になるまで読まれてこなかった
人間の本性は悪であり、修養なしには前は通用しないと言う考え方,性悪説,
性悪説を唱えた人物,荀子,
社会秩序の維持に必要な外的な規範,礼,礼治主義
荀子の弟子で法治主義(法に基づく政治)を主張した,韓非子,
万物を生み出す根源、あらゆる現象を成立される原理,道,≠人為
道を唱えた人物,老子,
道に従って自然の営みに身を任せる生き方,無為自然,上善は水の如し
人間にとって最善の生き方は、謙虚で他人と争わないこと,柔弱謙下,
老子が理想とする少数の農村共同体,小国寡民,
あらゆる差別・対立に囚われず、全てものは斉しいとする考え方,万物斉同,
万物斉同を唱えた人物,荘子,胡蝶の夢
何者にも囚われない自由の境地,逍遥遊,
逍遥遊に至った人,真人,
逍遥遊に至るための心を無にして自己を道に委ねる修行,心斎坐忘,
ルネサンスヌおいて理想とされた人間の姿,万物人,
代表作：神曲,ダンテ,
代表作：デカメロン,ボッカチオ,
代表作：君主論,マキャヴェリ,
人間性を尊重し、真に人間的社会の実現を目指す、理想主義的立場,人文主義,
代表作：ガルガンチュワとパンタグリュエル,フランソワ,
代表作：ユートピア,トマス・モア,貨幣や私有財産のない理想の社会
代表作：愚神礼讃,エラ・スムス,教会の堕落を批判
代表作：人間の尊厳について,ミランドラ,自由意志を強調
自分の人生を自分の意思で切り開こうとする近代人の考え方,人間中心主義,
ルターが掲示した免罪符を批判するもの,95箇所の意見書,
贖罪は信仰によってのみ可能と言う考え,信仰義認説,
進行を持つものは神の前に平等という考え,万人司祭説,
信仰義認説や万人司祭説を唱えた人物,ルター,
誰が救済されるかは神の意思によりあらかじめ決定されているという考え,予定説,
あらゆる職業は神から与えられた使命。,職業召命観,
予定説や職業召命観を唱えた人物,カルヴァン,
プロテスタンティズムの倫理と資本主義の精神,マックス・ヴェーバー,
人間の生き方を探求した思想家たち,モラリスト,
モンテーニュの主著,エセー,
批判的精神を持って自分の考え方を吟味する,懐疑主義,
パスカルの主著,パンセ,人間は考える葦である
パスカルの人間の捉え方,中間者,人間は惨めな存在であるが、そのことを知っているから偉大である。
人間が必要とする合理的な推理の能力,幾何学の精神,
直感的な判断の能力,繊細の精神,
地動説を提唱した人物,コペルニクス,
万有引力の法則を発見した人物,ニュートン,
新しい学問は人間を幸福にするためにあると考えた人物,ベーコン,知は力なりー自然に従うことにより、自然を征服する新しい科学の必要性を述べる
ベーコンの主著,ノヴムオルガヌム,
個別的・経験的事実から一般法則を導く方法ー経験を重視,帰納法,
人間のうちにある偏見や先入観,イドラ,
人間の本性に由来するイドラ,種族のイドラ,
個人の景謙也環境の由来するイドラ,洞窟のイドラ,
言葉の不適切な仕様に由来するイドラ,市場のイドラ,
伝統的権威や儀式への盲従に由来するイドラ,劇場のイドラ,
白紙説,タブラ・ラサ,
感覚的な毛池nよりも理性を重んじ、理性を知識の源泉とみなす考え方。,合理論,
合理論者のひとり,デカルト,我思う、故に我あり(コギト=エルゴ=スム)
デカルトの主著(h~),方法序説,
デカルトの主著(s),省察,
最初に確実な心理を示し、そこから個別の事例を判断する方法ー理性を重視,演繹法,
確実な認識・真理を探求するため、一度全てを疑い確実なものを探していく,方法的懐疑,
精神と物体(身体)は独立した存在するという考え方,物身二元論,
精神の本質,思惟,
物体の本質,延長,
自然が一定の法則に従って運動すると考えて、その法則を発見しようとする自然の捉え方,機械論的自然観,
情念を支配し、己の自由と独立を実現しなければならととする精神,高邁の精神,
スピノザの主著,エチカ,自然は神そのもののあらわれ、汎神論
ライプニッツの主著,単子論,宇宙はモナド(単子)から成立する予定調和説
社会は自由で平等な個人の契約にするという考え,社会契約説,
人間の内なる自然に基づいた普遍的な法,実定法,⇄自然法
近代自然法の父と称され、自然法が人間の理性によるものと主張した人物,グロティウス,
人間は利己的動物だと考えた人物,ホッブズ,自然状態：万人の万人に対する闘争
ホッブズ,リヴァイアサン,
人間は本来理性的であると考えた人物,ロック,自然状態：自由・平等・平和(所有権が不安定)
ロックの主著(s~),市民政府二論,
ロックの主著(n~),人間悟性論,
人間は本来、自然な感情を持つ未発達な存在と考えた人物,ルソー,
ルソーの主著(s~),社会契約論,
ルソーの主著(n~),人間不平等起源論,
公共の利益を目指す意思,一般意志,ルソーは一般意志を重視
個人の利益を目指す意思,特殊意志,
特殊意志の集合,全体意志,
人間の認識の仕方を解明するために、認識が成立する条件を探り、人間の認識能力の及ぶ範囲を明らかにする哲学,批判哲学,
批判哲学の代表人物,カント,
カントの主著(zy~),純粋理性批判,
カントの主著(zi~),実践理性批判,
カントの主著(h~),判断欲批判,
カントの主著(e~),永遠平和のために,カントは国際連盟を提唱した
認識に関わる能力としての理性,純粋理性,
認識の対象となるものそのもの,物自体,
経験によって与えられるもの,現象,認識は感性によって経験されたものを、悟性によって構成することによって生まれる。
認識が対象に従うという従来の考えを否定し、対象が認識に従うという見方の逆転,コペルニクス的転回,
実践に関わる能力としての意志,実践意志,
道徳的な行為の基準となる法則,道徳法則,
無条件に道徳的に善いもの,善意志,
良さは行為の動機のうちにあるとする説,動機説,
条件付きの命令,仮言命法,
無条件の命令,定言命法,カントは定言命法を重視
実践理性による自己立法・自己服従,意志の自律,
世界を成り立たせ、その歴史を動かすのは精神であると考えた人物,ヘーゲル,理性的であるものこそ、現実的であり、現実的であるものこそ、理性的である
ヘーゲルの主著(s~),精神現象学,
ヘーゲルの哲学(h~),法の哲学,
対立・矛盾する問題を発展的に克服する考え方,弁証法,
命題：正,テーゼ,
対立命題：反,アンチテーゼ,
新命題：合,ジンテーゼ,
対立する二つのものを、共に生かしながらより高い次元で総合すること,止揚,
個人を貫いている普遍的な精神,絶対意志,
自己の理念を外に表すことで、自己を実現すること,自己外化,
絶対精神の理念を実現する上で、ふさわしい人間を繁栄させ、そうではない人間を没落させる。,理性の狡知,
法と道徳を統一した客観的自由(共同体において成立),人倫,
自然な愛によって密接に繋がら共同体(正),家族,個人の自由を制限
自律した個人からなる共同体(反),市民社会,
家族の密接なつながりと市民社会の独立性が統合された人倫の最高形態,国家,
市場のメカニズムを解明して、経済学の父と呼ばれた人物,アダム・スミス,
アダム・スミスの主著(k~),国富論,
アダム・スミスの主著(d~),道徳感情論,
社会全体の幸福を最大化することが道徳的に最善であるという立場,功利原理,最大多数の最大幸福
道徳および立法の諸原理序説の著者,ベンサム,
快楽計算によって最大多数の最大幸福を導こうとする考え,量的功利主義,
快楽と苦痛を生み出す源泉となる強制力,制裁,
快楽の間に質の違いがあるという考え,質的功利主義,
質的功利主義を唱えた人物,ミル,満足した豚であるより、不満足な人間である方がよく、満足した愚か者であるより、不満足なソクラテスである方がいい
ミルの主著(z~),自由論,
良心による強制力,内的制裁,功利主義がイエスの黄金律を継ぐものであると考えた。
他人に危害を及ぼさない限り個人の自由は最大限尊重されなければならない,他者危害原則,
